1,1,08:33,16:56
1,2,08:33,16:57
1,3,08:32,16:58
1,4,08:32,16:59
1,5,08:32,17:00
1,6,08:32,17:01
1,7,08:32,17:02
1,8,08:31,17:04
1,9,08:31,17:05
1,10,08:30,17:06
1,11,08:30,17:07
1,12,08:29,17:09
1,13,08:29,17:10
1,14,08:28,17:11
1,15,08:27,17:13
1,16,08:27,17:14
1,17,08:26,17:16
1,18,08:25,17:17
1,19,08:24,17:18
1,20,08:23,17:20
1,21,08:23,17:21
1,22,08:22,17:23
1,23,08:21,17:25
1,24,08:20,17:26
1,25,08:19,17:28
1,26,08:17,17:29
1,27,08:16,17:31
1,28,08:15,17:32
1,29,08:14,17:34
1,30,08:13,17:36
1,31,08:11,17:37
2,1,08:10,17:39
2,2,08:09,17:40
2,3,08:07,17:42
2,4,08:06,17:44
2,5,08:04,17:45
2,6,08:03,17:47
2,7,08:01,17:49
2,8,08:00,17:50
2,9,07:58,17:52
2,10,07:57,17:54
2,11,07:55,17:55
2,12,07:54,17:57
2,13,07:52,17:58
2,14,07:50,18:00
2,15,07:49,18:02
2,16,07:47,18:03
2,17,07:45,18:05
2,18,07:43,18:07
2,19,07:42,18:08
2,20,07:40,18:10
2,21,07:38,18:11
2,22,07:36,18:13
2,23,07:34,18:15
2,24,07:32,18:16
2,25,07:30,18:18
2,26,07:29,18:19
2,27,07:27,18:21
2,28,07:25,18:23
2,29,07:24,18:24
3,1,07:23,18:25
3,2,07:21,18:26
3,3,07:19,18:27
3,4,07:17,18:29
3,5,07:15,18:30
3,6,07:13,18:32
3,7,07:11,18:33
3,8,07:09,18:35
3,9,07:07,18:36
3,10,07:05,18:38
3,11,07:03,18:39
3,12,07:01,18:41
3,13,06:59,18:42
3,14,06:56,18:44
3,15,06:54,18:45
3,16,06:52,18:47
3,17,06:50,18:48
3,18,06:48,18:50
3,19,06:46,18:51
3,20,06:44,18:53
3,21,06:42,18:54
3,22,06:40,18:56
3,23,06:38,18:57
3,24,06:36,18:59
3,25,06:33,19:00
3,26,07:31,19:02
3,27,06:29,19:03
3,28,06:27,19:05
3,29,06:25,19:06
3,30,06:23,19:07
3,31,06:21,19:09
4,1,06:19,19:10
4,2,06:17,19:12
4,3,06:15,19:13
4,4,06:13,19:15
4,5,06:11,19:16
4,6,06:09,19:18
